i,j,x_upper,y_upper,x_lower,y_lower
0,1,2260.25,1173.75,2263.75,1150.25
0,1,2262.98,1174.22,2266.5,1150.6
0,1,2265.77,1174.67,2269.3,1150.97
0,1,2268.6,1175.12,2272.13,1151.38
0,1,2271.47,1175.54,2275.01,1151.8
0,1,2274.39,1175.96,2277.92,1152.26
0,1,2277.35,1176.36,2280.86,1152.73
0,1,2280.34,1176.75,2283.84,1153.23
0,1,2283.36,1177.13,2286.84,1153.75
0,1,2286.41,1177.49,2289.86,1154.29
0,1,2289.49,1177.84,2292.91,1154.85
0,1,2292.59,1178.18,2295.97,1155.43
0,1,2295.7,1178.51,2299.05,1156.03
0,1,2298.84,1178.83,2302.14,1156.64
0,1,2301.99,1179.13,2305.24,1157.27
0,1,2305.15,1179.42,2308.35,1157.91
0,1,2308.31,1179.7,2311.46,1158.56
0,1,2311.48,1179.97,2314.57,1159.23
0,1,2314.65,1180.23,2317.67,1159.9
0,1,2317.81,1180.48,2320.77,1160.59
0,1,2320.97,1180.71,2323.86,1161.28
0,1,2324.12,1180.94,2326.94,1161.98
0,1,2327.25,1181.16,2330.01,1162.68
0,1,2330.37,1181.37,2333.05,1163.39
0,1,2333.47,1181.57,2336.07,1164.11
0,1,2336.55,1181.76,2339.07,1164.82
0,1,2339.6,1181.94,2342.04,1165.54
0,1,2342.62,1182.11,2344.99,1166.25
0,1,2345.61,1182.28,2347.89,1166.96
0,1,2348.57,1182.43,2350.77,1167.68
0,1,2351.49,1182.58,2353.6,1168.38
0,1,2354.36,1182.72,2356.39,1169.09
0,1,2357.19,1182.85,2359.14,1169.79
0,1,2359.98,1182.98,2361.84,1170.48
0,1,2362.71,1183.1,2364.49,1171.16
0,1,2365.4,1183.21,2367.09,1171.84
0,1,2368.02,1183.31,2369.63,1172.5
0,1,2370.59,1183.41,2372.12,1173.16
0,1,2373.1,1183.5,2374.54,1173.8
0,1,2375.54,1183.59,2376.91,1174.43
0,1,2377.92,1183.67,2379.21,1175.05
0,1,2380.24,1183.74,2381.44,1175.65
0,1,2382.48,1183.81,2383.6,1176.24
0,1,2384.64,1183.87,2385.69,1176.81
0,1,2386.74,1183.92,2387.71,1177.37
0,1,2388.75,1183.98,2389.65,1177.91
0,1,2390.69,1184.02,2391.52,1178.43
0,1,2392.54,1184.07,2393.31,1178.93
0,1,2394.31,1184.1,2395.01,1179.41
0,1,2396,1184.14,2396.64,1179.86
0,1,2397.6,1184.17,2398.17,1180.3
0,1,2399.11,1184.2,2399.63,1180.71
0,1,2400.53,1184.22,2400.99,1181.11
